theta	R_0	R_1	R_2
39.4	10	0	6.4
39.5	7	0	0
39.6	6	0	0
39.7	7	0	0
39.8	8	0	0
39.9	5	0	0
40	10	0	0
40.1	4	0	0
40.2	9	0	0
40.3	7	0	0
40.4	8	0	0
40.5	5	0	0
40.6	7	0	0
40.7	8	0	0
40.8	4	0	0
40.9	4	0	0
41	5	0	0
41.1	8	0	0
41.2	6	0	0
41.3	7	0	0
41.4	5	0	0
41.5	3	0	0
41.6	3	0	0
41.7	5	0	0
41.8	4	0	0
41.9	7	0	0
42	7	0	0
42.1	8	0	0
42.2	6	0	0
42.3	3	0	0
42.4	6	0	0
42.5	7	0	0
42.6	7	0	0
42.7	9	0	0
42.8	4	0	0
42.9	6	0	0
43	7	0	0
43.1	5	0	0
43.2	9	0	0
43.3	6	0	0
43.4	5	0	0
43.5	11	0	0
43.6	8	0	0
43.7	3	0	0
43.8	7	0	0
43.9	3	0	0
44	4	0	0
44.1	4	0	0
44.2	6	0	0
44.3	8	0	0
44.4	5	0	0
44.5	5	0	0
44.6	10	0	0
44.7	8	0	0
44.8	4	0	0
44.9	4	0	0
45	8	0	0
45.1	5	0	0
45.2	4	0	0
45.3	3	0	0
45.4	8	0	0
45.5	7	0	0
45.6	7	0	0
45.7	4	0	0
45.8	8	0	0
45.9	5	0	0
46	7	0	0
46.1	5	0	0
46.2	5	0	0
46.3	3	0	0
46.4	2	0	0
46.5	4	0	0
46.6	4	0	0
46.7	2	0	0
46.8	6	0	0
46.9	5	0	0
47	8	0	0
47.1	5	0	0
47.2	9	0	0
47.3	9	0	0
47.4	3	0	0
47.5	4	0	0
47.6	12	0	0
47.7	3	0	0
47.8	7	0	0
47.9	6	0	0
48	5	0	0
48.1	6	0	0
48.2	6	0	0
48.3	6	0	0
48.4	3	0	0
48.5	5	0	0
48.6	6	0	0
48.7	6	0	0
48.8	8	0	0
48.9	3	0	0
49	8	0	0
49.1	7	0	0
49.2	5	0	0
49.3	3	0	0
49.4	7	0	0
49.5	4	0	0
49.6	6	0	0
49.7	6	0	0
49.8	5	0	0
49.9	3	0	0
50	7	0	0
50.1	8	0	0
50.2	3	0	0
50.3	9	0	0
50.4	7	0	0
